date,city,country,continent,latitude,longitude,temp_c,weather
2014-01-01,北京,中国,亚洲,39.9,116.4,4.8,雾
2014-01-01,上海,中国,亚洲,31.23,121.47,11.2,多云
2014-01-01,东京,日本,亚洲,35.68,139.69,10.3,晴
2014-01-01,新加坡,新加坡,亚洲,1.35,103.82,24.5,雨
2014-01-01,孟买,印度,亚洲,19.08,72.88,24.7,多云
2014-01-01,伦敦,英国,欧洲,51.51,-0.13,7.7,多云
2014-01-01,巴黎,法国,欧洲,48.86,2.35,8.5,多云
2014-01-01,纽约,美国,北美,40.71,-74.01,6.7,多云
2014-01-01,洛杉矶,美国,北美,34.05,-118.24,15.4,晴
2014-01-01,圣保罗,巴西,南美,-23.55,-46.63,23.5,雨
2014-01-01,悉尼,澳大利亚,大洋洲,-33.87,151.21,22.3,多云
2014-01-01,开普敦,南非,非洲,-33.92,18.42,17.8,雨
2014-01-02,北京,中国,亚洲,39.9,116.4,6.3,雨
2014-01-02,上海,中国,亚洲,31.23,121.47,11.1,雨
2014-01-02,东京,日本,亚洲,35.68,139.69,11.7,晴
2014-01-02,新加坡,新加坡,亚洲,1.35,103.82,25.1,晴
2014-01-02,孟买,印度,亚洲,19.08,72.88,21.1,多云
2014-01-02,伦敦,英国,欧洲,51.51,-0.13,6.6,多云
2014-01-02,巴黎,法国,欧洲,48.86,2.35,8.5,晴
2014-01-02,纽约,美国,北美,40.71,-74.01,4.7,多云
2014-01-02,洛杉矶,美国,北美,34.05,-118.24,14.9,多云
2014-01-02,圣保罗,巴西,南美,-23.55,-46.63,21.1,多云
2014-01-02,悉尼,澳大利亚,大洋洲,-33.87,151.21,22.5,雨
2014-01-02,开普敦,南非,非洲,-33.92,18.42,20.5,多云
2014-01-03,北京,中国,亚洲,39.9,116.4,4.1,多云
2014-01-03,上海,中国,亚洲,31.23,121.47,10.4,多云
2014-01-03,东京,日本,亚洲,35.68,139.69,10.1,晴
2014-01-03,新加坡,新加坡,亚洲,1.35,103.82,30.3,晴
2014-01-03,孟买,印度,亚洲,19.08,72.88,26.2,多云
2014-01-03,伦敦,英国,欧洲,51.51,-0.13,9.6,多云
2014-01-03,巴黎,法国,欧洲,48.86,2.35,9.6,多云
2014-01-03,纽约,美国,北美,40.71,-74.01,6.4,多云
2014-01-03,洛杉矶,美国,北美,34.05,-118.24,16.4,多云
2014-01-03,圣保罗,巴西,南美,-23.55,-46.63,19.3,雨
2014-01-03,悉尼,澳大利亚,大洋洲,-33.87,151.21,21.0,多云
2014-01-03,开普敦,南非,非洲,-33.92,18.42,21.1,晴
2014-01-04,北京,中国,亚洲,39.9,116.4,5.9,多云
2014-01-04,上海,中国,亚洲,31.23,121.47,10.6,多云
2014-01-04,东京,日本,亚洲,35.68,139.69,11.9,多云
2014-01-04,新加坡,新加坡,亚洲,1.35,103.82,25.9,多云
2014-01-04,孟买,印度,亚洲,19.08,72.88,23.9,晴
2014-01-04,伦敦,英国,欧洲,51.51,-0.13,7.1,晴
2014-01-04,巴黎,法国,欧洲,48.86,2.35,6.7,晴
2014-01-04,纽约,美国,北美,40.71,-74.01,7.1,多云
2014-01-04,洛杉矶,美国,北美,34.05,-118.24,15.4,雨
2014-01-04,圣保罗,巴西,南美,-23.55,-46.63,21.7,晴
2014-01-04,悉尼,澳大利亚,大洋洲,-33.87,151.21,21.9,雨
2014-01-04,开普敦,南非,非洲,-33.92,18.42,18.5,多云
2014-01-05,北京,中国,亚洲,39.9,116.4,6.9,晴
2014-01-05,上海,中国,亚洲,31.23,121.47,11.5,晴
2014-01-05,东京,日本,亚洲,35.68,139.69,12.9,晴
2014-01-05,新加坡,新加坡,亚洲,1.35,103.82,26.9,晴
2014-01-05,孟买,印度,亚洲,19.08,72.88,24.8,雨
2014-01-05,伦敦,英国,欧洲,51.51,-0.13,9.6,多云
2014-01-05,巴黎,法国,欧洲,48.86,2.35,4.0,晴
2014-01-05,纽约,美国,北美,40.71,-74.01,7.6,雾
2014-01-05,洛杉矶,美国,北美,34.05,-118.24,14.1,晴
2014-01-05,圣保罗,巴西,南美,-23.55,-46.63,21.5,晴
2014-01-05,悉尼,澳大利亚,大洋洲,-33.87,151.21,20.8,晴
2014-01-05,开普敦,南非,非洲,-33.92,18.42,22.0,雨
2014-01-06,北京,中国,亚洲,39.9,116.4,5.2,晴
2014-01-06,上海,中国,亚洲,31.23,121.47,9.7,多云
2014-01-06,东京,日本,亚洲,35.68,139.69,11.9,雨
2014-01-06,新加坡,新加坡,亚洲,1.35,103.82,26.8,晴
